true_position,measurement,position_prediction,velocity_prediction,acceleration_prediction,position_estimate,velocity_estimate,acceleration_estimate
-0.678648,-0.678648,104.9,109.8,9.8,73.2264,93.9632,7.16053
104.375,104.375,170.77,101.124,7.16053,150.852,91.1646,5.50067
218.633,218.633,244.766,96.6652,5.50067,236.926,92.7452,4.84732
343.51,343.51,332.095,97.5925,4.84732,335.52,99.3047,5.1327
478.239,478.239,437.391,104.437,5.1327,449.645,110.565,6.1539
622.868,622.868,563.287,116.719,6.1539,581.161,125.656,7.64342
775.544,775.544,710.638,133.299,7.64342,730.11,143.035,9.26607
940.791,940.791,877.778,152.301,9.26607,896.682,161.753,10.8414
1112.97,1112.97,1063.86,172.594,10.8414,1078.59,179.962,12.0693
1297.05,1297.05,1264.59,192.031,12.0693,1274.33,196.901,12.8809
1490.84,1490.84,1477.67,209.781,12.8809,1481.62,211.757,13.2102
1693.03,1693.03,1699.98,224.968,13.2102,1697.9,223.925,13.0365
1904.63,1904.63,1928.34,236.962,13.0365,1921.23,233.405,12.4438
2128.39,2128.39,2160.85,245.849,12.4438,2151.11,240.979,11.632
2359.43,2359.43,2397.91,252.611,11.632,2386.36,246.838,10.67
2602.49,2602.49,2638.54,257.508,10.67,2627.72,252.102,9.76888
2853.45,2853.45,2884.71,261.871,9.76888,2875.33,257.182,8.98745
3116.11,3116.11,3137.01,266.17,8.98745,3130.74,263.035,8.46494
3388.57,3388.57,3398.01,271.5,8.46494,3395.18,270.084,8.22897
3669.01,3669.01,3669.37,278.313,8.22897,3669.26,278.258,8.21982
3960.52,3960.52,3951.63,286.478,8.21982,3954.3,287.811,8.44212
4260.15,4260.15,4246.33,296.254,8.44212,4250.48,298.326,8.78751
4571.06,4571.06,4553.2,307.113,8.78751,4558.55,309.792,9.234
4891.18,4891.18,4872.96,319.026,9.234,4878.43,321.759,9.6894
5222.17,5222.17,5205.03,331.448,9.6894,5210.17,334.018,10.1178
5561.98,5561.98,5549.25,344.136,10.1178,5553.07,346.045,10.436
5912.74,5912.74,5904.33,356.481,10.436,5906.85,357.743,10.6463
6272.93,6272.93,6269.92,368.389,10.6463,6270.82,368.84,10.7215
6641.25,6641.25,6645.02,379.562,10.7215,6643.89,378.996,10.6271
7020.05,7020.05,7028.2,389.623,10.6271,7025.76,388.4,10.4233
7409.77,7409.77,7419.37,398.823,10.4233,7416.49,397.384,10.1834
7808.6,7808.6,7818.96,407.567,10.1834,7815.86,406.014,9.92443
8218.07,8218.07,8226.83,415.938,9.92443,8224.2,414.623,9.70534
8637.02,8637.02,8643.68,424.329,9.70534,8641.68,423.33,9.5388
9064.57,9064.57,9069.78,432.868,9.5388,9068.22,432.087,9.40864
9503.15,9503.15,9505.01,441.496,9.40864,9504.45,441.217,9.36217
9949.85,9949.85,9950.35,450.579,9.36217,9950.2,450.504,9.34957
10408,10408,10405.4,459.853,9.34957,10406.2,460.253,9.41614
10876.2,10876.2,10871.1,469.669,9.41614,10872.7,470.433,9.5435
11353.3,11353.3,11347.9,479.977,9.5435,11349.5,480.79,9.67912
11840.9,11840.9,11835.1,490.469,9.67912,11836.9,491.333,9.82305
12337.9,12337.9,12333.1,501.156,9.82305,12334.5,501.872,9.94243
12843.7,12843.7,12841.4,511.815,9.94243,12842.1,512.169,10.0015
13359.9,13359.9,13359.3,522.171,10.0015,13359.5,522.273,10.0186
13886.4,13886.4,13886.7,532.292,10.0186,13886.6,532.238,10.0097
14421.9,14421.9,14423.9,542.248,10.0097,14423.3,541.948,9.95976
